algorithm,coach,education,execution,figure,job,letter,match,mission,mood,paper,post,pot,range,rest,ring,scene,side,soil,strain,test
RelAgg,66.75,51.83,77.36,61.75,74.49,46.87,49.93,45.56,54.56,40.22,48.89,36.35,34.68,32.45,28.68,44.72,33.60,79.59,44.96,51.57
RelGreedy,69.02,55.02,75.16,64.46,76.92,45.55,48.74,41.08,51.00,40.01,51.32,33.25,39.63,30.06,33.36,44.67,32.86,80.39,40.96,51.57
CO-Graph,59.94,41.45,71.87,52.64,63.15,49.27,40.06,49.20,47.89,39.54,41.41,24.33,28.56,12.40,22.24,40.20,40.34,85.95,25.47,46.34
Standardbase,36.85,55.52,69.61,62.84,62.13,47.81,47.69,26.96,61.01,37.10,30.33,23.20,29.15,21.02,22.07,40.99,41.01,74.72,30.25,17.01
