algorithm,coach,education,execution,figure,job,letter,match,mission,mood,paper,post,pot,range,rest,ring,scene,side,soil,strain,test
RelAgg,22.7,24.39,30.38,16.56,33.56,24.6,22.52,19.72,19.15,16.59,23,14.35,11.95,7.46,10.37,19.87,14.9,41.08,10.57,11.8
RelGreedy,22.7,21.85,28.35,20.35,34.42,17.87,22.52,17.97,17.63,11.16,22.47,12.7,12.25,8.69,10.16,17.09,14.9,37.52,8.73,11.05
CO-Graph,8.78,24.77,21.80,13.99,33.84,18.68,20.01,18.97,21.27,7.01,23.40,10.90,7.09,5.81,13.48,25.59,14.40,41.10,7.52,10.03
Standardbase,8.78,0.51,21.10,17.87,33.84,22.08,19.35,19.72,21.27,20.49,23.40,5.10,14.94,5.81,3.80,4.13,14.90,41.50,7.52,10.03

